date,cost_rank,config_label,N_L2,N_DC50,N_DC150,N_DC350,capex_daily,energy_cost,demand_global,demand_peak_win,total_op_cost,peak_kw,peak_win_kw,n_vehicles,n_fully_served,n_partially_served,n_vehicles_served,n_unserved,vehicles_served_pct,energy_demanded_kwh,energy_delivered_kwh,energy_served_pct,solve_time_s,mip_gap,solver_status,is_worst10
2026-03-03,39,1×DC50 + 4×DC150 + 8×DC350,0,1,4,8,1226.58,1536.25,13564.2,0.0,16327.02,2820.0,350.0,70,64,6,70,0,100.0,8249.0,10001.2,121.2,0.1,0.0485,optimal,False
2025-08-27,40,1×L2 + 1×DC50 + 7×DC150 + 5×DC350,1,1,7,5,1070.57,1718.98,13468.0,0.0,16257.55,2800.0,500.0,83,77,6,83,0,100.0,9687.4,11610.9,119.9,0.4,0.0028,optimal,False
2025-11-14,41,1×L2 + 1×DC50 + 6×DC150 + 6×DC350,1,1,6,6,1125.36,1531.31,13564.2,0.0,16220.86,2820.0,350.0,70,64,6,70,0,100.0,8436.2,10317.3,122.3,7.6,0.0028,optimal,False
2025-09-12,42,1×L2 + 3×DC150 + 7×DC350,1,0,3,7,1021.94,1635.25,13559.39,0.0,16216.58,2819.0,419.0,79,70,9,79,0,100.0,9366.1,10951.2,116.9,1.4,0.0241,optimal,False
2025-12-03,43,1×L2 + 2×DC50 + 5×DC150 + 6×DC350,1,2,5,6,1094.54,1540.7,13571.41,0.0,16206.65,2821.5,537.0,77,66,11,77,0,100.0,8588.8,10106.3,117.7,1.4,0.0416,optimal,False
2026-03-02,44,5×DC150 + 6×DC350,0,0,5,6,1021.81,1442.61,13708.5,0.0,16172.91,2850.0,770.0,63,59,4,63,0,100.0,7605.0,9551.2,125.6,1.5,0.0,optimal,False
2025-07-08,45,2×L2 + 1×DC50 + 6×DC150 + 7×DC350,2,1,6,7,1251.51,1478.99,13419.9,0.0,16150.39,2790.0,1260.0,69,63,6,69,0,100.0,8062.9,9461.5,117.3,1.5,0.0016,optimal,False
2026-02-10,46,1×DC150 + 8×DC350,0,0,1,8,1005.37,1602.48,13516.1,0.0,16123.95,2810.0,700.0,77,72,5,77,0,100.0,8123.5,10176.8,125.3,0.5,0.0001,optimal,False
2025-12-10,47,4×DC50 + 1×DC150 + 10×DC350,0,4,1,10,1369.71,1767.51,12866.75,0.0,16003.98,2675.0,910.0,79,72,7,79,0,100.0,9693.8,11458.1,118.2,0.2,0.0269,optimal,False
2025-12-17,48,1×L2 + 1×DC50 + 3×DC150 + 8×DC350,1,1,3,8,1171.93,1481.62,13323.7,0.0,15977.25,2770.0,1560.0,63,58,5,63,0,100.0,7152.6,8539.2,119.4,3.0,0.0118,optimal,False
2025-08-29,49,1×L2 + 1×DC50 + 1×DC150 + 8×DC350,1,1,1,8,1045.91,1461.65,13371.8,0.0,15879.36,2780.0,350.0,71,61,10,71,0,100.0,8213.7,9645.8,117.4,4.0,0.001,optimal,False
2025-06-16,50,1×L2 + 3×DC50 + 4×DC150 + 6×DC350,1,3,4,6,1063.72,1745.91,12987.0,0.0,15796.63,2700.0,720.0,84,77,7,84,0,100.0,10145.0,12071.1,119.0,12.4,0.0055,optimal,False
2025-07-30,51,2×L2 + 1×DC50 + 4×DC150 + 7×DC350,2,1,4,7,1125.49,1685.74,12983.15,0.0,15794.39,2699.2,850.0,81,70,11,81,0,100.0,9708.2,11105.0,114.4,0.3,0.0088,optimal,False
2025-05-20,52,4×L2 + 2×DC50 + 6×DC150 + 5×DC350,4,2,6,5,1064.81,1945.1,12770.55,0.0,15780.46,2655.0,550.0,90,83,7,90,0,100.0,11009.3,13048.9,118.5,4.4,0.0176,optimal,False
2025-06-13,53,1×L2 + 2×DC50 + 2×DC150 + 10×DC350,1,2,2,10,1376.7,1101.66,13258.76,0.0,15737.13,2756.5,272.0,53,49,4,53,0,100.0,6079.5,7303.5,120.1,0.3,0.0471,optimal,False
2025-07-16,54,1×L2 + 1×DC50 + 2×DC150 + 9×DC350,1,1,2,9,1226.71,1970.73,12506.0,0.0,15703.44,2600.0,1272.0,88,64,24,88,0,100.0,11727.3,12734.3,108.6,0.2,0.0467,optimal,False
2025-10-17,55,2×L2 + 3×DC50 + 1×DC150 + 7×DC350,2,3,1,7,1000.85,1604.34,13042.31,0.0,15647.5,2711.5,419.0,73,65,8,73,0,100.0,8979.9,10652.9,118.6,1.5,0.0377,optimal,False
2025-09-23,56,3×L2 + 1×DC50 + 7×DC150 + 5×DC350,3,1,7,5,1087.28,1429.19,13127.45,0.0,15643.92,2729.2,458.0,66,65,1,66,0,100.0,7366.3,8950.3,121.5,2.0,0.032,optimal,False
2026-04-07,57,1×L2 + 3×DC150 + 7×DC350,1,0,3,7,1021.94,1385.9,13179.4,0.0,15587.25,2740.0,700.0,64,60,4,64,0,100.0,7300.6,9081.5,124.4,2.3,0.0008,optimal,False
2026-02-03,58,1×L2 + 1×DC50 + 3×DC150 + 7×DC350,1,1,3,7,1054.13,1916.43,12578.15,0.0,15548.71,2615.0,1050.0,82,66,16,82,0,100.0,10990.2,12672.0,115.3,0.5,0.0032,optimal,False
2025-07-25,59,3×DC50 + 4×DC150 + 6×DC350,0,3,4,6,1055.36,1510.17,12938.9,0.0,15504.43,2690.0,450.0,71,62,9,71,0,100.0,8432.7,9815.6,116.4,0.3,0.0377,optimal,False
2025-09-05,60,1×L2 + 2×DC150 + 7×DC350,1,0,2,7,958.94,1232.01,13282.81,0.0,15473.76,2761.5,372.0,63,55,8,63,0,100.0,6924.1,8211.9,118.6,1.0,0.0071,optimal,False
2025-10-07,61,2×L2 + 2×DC150 + 7×DC350,2,0,2,7,967.29,1946.71,12506.0,0.0,15420.0,2600.0,350.0,92,80,12,92,0,100.0,10873.5,13047.8,120.0,0.3,0.001,optimal,False
2026-02-27,62,1×DC50 + 4×DC150 + 6×DC350,0,1,4,6,990.99,1468.82,12938.9,0.0,15398.7,2690.0,200.0,68,59,9,68,0,100.0,7865.4,9591.8,121.9,0.3,0.0188,optimal,False
2025-11-19,63,1×L2 + 3×DC50 + 2×DC150 + 7×DC350,1,3,2,7,1055.5,1486.39,12837.89,0.0,15379.78,2669.0,229.0,70,66,4,70,0,100.0,8099.1,10131.1,125.1,7.5,0.0231,optimal,False
2026-01-09,64,2×DC50 + 4×DC150 + 7×DC350,0,2,4,7,1140.97,1652.39,12554.1,0.0,15347.46,2610.0,450.0,73,63,10,73,0,100.0,9239.5,10820.2,117.1,0.4,0.0406,optimal,False
2025-08-11,65,1×L2 + 2×DC50 + 1×DC150 + 7×DC350,1,2,1,7,960.31,2150.61,12224.61,0.0,15335.53,2541.5,912.0,101,91,10,101,0,100.0,11723.7,14097.6,120.2,0.4,0.0396,optimal,False
